Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Tokenizer - JSON,20375,8851,1764,181456,9917.83,0.010%,29.30036,9.48,36.11,331.2
TOTAL,20375,8851,1764,181456,9917.83,0.010%,29.30036,9.48,36.11,331.2
