Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Admin - Transaction -All Transactions,2,2768,2418,3118,350.00,0.000%,.02104,0.01,0.04,505.0
Admin - Transaction -Approve Transactions,2,5956,2411,9501,3545.00,0.000%,.01958,0.13,0.04,6665.0
Admin - Transaction -Rejected  Transactions,2,4151,3774,4528,377.00,0.000%,.01919,0.05,0.04,2771.0
Admin - Transaction - Check Verification,2,1439,1175,1704,264.50,0.000%,.01958,0.01,0.04,724.0
Admin - Billing -Merchant Billings,2,1875,1673,2077,202.00,0.000%,.01940,0.98,0.04,51816.0
Admin - Billing -Approve Merchant Billing,2,1447,938,1957,509.50,0.000%,.01935,0.08,0.04,4223.5
Admin - Billing - ISO  Billing,2,3403,1333,5473,2070.00,0.000%,.01928,1.19,0.04,63357.5
Admin - Billing - Approve ISO Billing,2,1516,1114,1919,402.50,0.000%,.02012,0.02,0.04,770.0
Admin - Billing - Residual Billing,2,978,862,1094,116.00,0.000%,.02029,0.30,0.04,14994.0
Admin - Billing - Approve Residual Billing,2,1386,1354,1419,32.50,0.000%,.02018,0.02,0.04,770.0
Admin - Billing - Projected Billing,2,942,711,1173,231.00,0.000%,.02021,0.14,0.04,7332.0
Admin - Reconcilliation - ODFI Pricing,2,2238,1158,3319,1080.50,0.000%,.01970,0.19,0.03,10050.0
Admin - Reconcilliation -  Gateway Pricing,2,891,820,963,71.50,0.000%,.01973,0.03,0.04,1393.0
Admin - Reconcilliation - Projected Gateway Bill,2,839,752,926,87.00,0.000%,.01975,0.03,0.04,1399.0
Admin - Reconcilliation - Bank Accounts,2,993,857,1130,136.50,0.000%,.01976,0.06,0.04,2861.0
Admin - Reconcilliation - CBCAL - Opening Balance,2,962,779,1146,183.50,0.000%,.01976,0.11,0.04,5647.0
Admin - Reconcilliation - CBCAL - Returns,2,683,616,751,67.50,0.000%,.01979,0.11,0.04,5646.5
Admin - Reconcilliation - CBCAL - ACH Entries,2,1141,713,1570,428.50,0.000%,.01980,0.11,0.04,5643.0
Admin - Reconcilliation - CBCAL - Settlement,2,1077,493,1662,584.50,0.000%,.01978,0.11,0.04,5646.5
Admin - Reconcilliation - CBCAL - Transactions,2,970,818,1122,152.00,0.000%,.01971,0.11,0.03,5643.0
Admin - Workflow - Requests,2,915,606,1225,309.50,0.000%,.01969,0.02,0.04,1081.0
Admin -Workflow -CAB,2,1052,1012,1092,40.00,0.000%,.01960,0.04,0.03,1886.0
Admin - Underwriting - Merchant -Cross Reference Search,2,1214,1149,1279,65.00,0.000%,.01957,0.12,0.04,6357.0
Admin - Underwriting - Merchant -Pricing,2,1116,993,1239,123.00,0.000%,.01963,0.03,0.04,1591.5
Admin - Underwriting - Merchant -Pricing History,2,1686,1228,2145,458.50,0.000%,.01946,0.02,0.04,869.0
Admin - Underwriting - Merchant -Application Statuses,2,1029,556,1502,473.00,0.000%,.01940,0.04,0.03,2072.0
Admin - Underwriting - Merchant -Checklist,2,785,609,961,176.00,0.000%,.01939,0.02,0.04,1201.0
Admin - Underwriting - Merchant -Merchant Risk Calculator - Riskinfo,2,1522,1465,1580,57.50,0.000%,.01928,0.01,0.04,770.0
Admin - Underwriting - Merchant -Merchant Risk Calculator - Riskinfo All,2,616,605,628,11.50,0.000%,.01944,0.01,0.04,770.0
Admin - Underwriting - Merchant -Merchant Business information,2,1360,1314,1407,46.50,0.000%,.01930,0.19,0.03,10125.0
Admin - Underwriting - Merchant -Merchant Processing Information,2,658,599,717,59.00,0.000%,.01945,0.07,0.04,3794.5
Admin - Underwriting - Merchant -Documents,2,3362,1093,5632,2269.50,0.000%,.01857,0.05,0.03,2966.0
TOTAL,190,1368,479,9501,1068.27,3.158%,.73034,6.32,1.33,8860.1
